model,mae,rmse,r2
linear_regression,0.007189759681649891,0.026241170925677296,0.999995051000844
random_forest,0.2606905760234079,0.9517254594315684,0.9934900997507006
naive_baseline,0.4368591967261904,0.4988507634941624,0.9982114864199938
