iso3,country,who_region,who_region_code,scenario,total_sugar_change_by_2030,forecast_year,forecast_obesity_pct,input_year,predicted_obesity_change_3yr,predicted_annualized_change,sugar_supply_kg_per_capita_assumption,sugar_supply_kcal_per_capita_day_assumption,model_name,model_type
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -10% by 2030,-0.1,2025,21.478622312045918,2024,2.778948495546431,0.9263161651821438,10.297142857142857,103.7,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -10% by 2030,-0.1,2026,22.389851673131744,2025,2.7336880832574764,0.9112293610858254,10.145714285714286,102.17500000000001,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -10% by 2030,-0.1,2027,23.278542495041574,2026,2.666072465729492,0.8886908219098307,9.994285714285713,100.64999999999999,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -10% by 2030,-0.1,2028,24.13729678047718,2027,2.57626285630682,0.8587542854356066,9.842857142857143,99.125,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -10% by 2030,-0.1,2029,24.958553457132066,2028,2.4637700299646577,0.8212566766548859,9.69142857142857,97.6,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -10% by 2030,-0.1,2030,25.73461168258111,2029,2.328174676347139,0.7760582254490463,9.54,96.075,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -2% by 2030,-0.02,2024,20.552306146863774,2023,2.8031734405913236,0.9343911468637746,10.569714285714285,106.445,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -2% by 2030,-0.02,2025,21.478594020462936,2024,2.778863620797482,0.9262878735991608,10.539428571428571,106.14,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -2% by 2030,-0.02,2026,22.389787869678127,2025,2.7335815476455716,0.9111938492151905,10.509142857142857,105.83500000000001,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -2% by 2030,-0.02,2027,23.27847990691631,2026,2.6660761117145486,0.8886920372381829,10.478857142857143,105.53,linear_regression,sugar_sensitivity_model
