iso3,country,who_region,who_region_code,scenario,total_sugar_change_by_2030,forecast_year,forecast_obesity_pct,input_year,sugar_supply_kg_per_capita_assumption,sugar_supply_kcal_per_capita_day_assumption
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -5% by 2030,-0.05,2027,23.439313621875847,2026,10.297142857142857,103.7
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -5% by 2030,-0.05,2028,24.41526620978697,2027,10.221428571428572,102.9375
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -5% by 2030,-0.05,2029,25.401157011222402,2028,10.145714285714286,102.17500000000001
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -5% by 2030,-0.05,2030,26.397990766825732,2029,10.069999999999999,101.4125
AGO,Angola,Africa,AFR,Constant sugar,0.0,2024,12.69315852138637,2023,14.66,96.04
AGO,Angola,Africa,AFR,Constant sugar,0.0,2025,13.144902082768896,2024,14.66,96.04
AGO,Angola,Africa,AFR,Constant sugar,0.0,2026,13.623022617169267,2025,14.66,96.04
AGO,Angola,Africa,AFR,Constant sugar,0.0,2027,14.129869386018068,2026,14.66,96.04
AGO,Angola,Africa,AFR,Constant sugar,0.0,2028,14.667351897168047,2027,14.66,96.04
AGO,Angola,Africa,AFR,Constant sugar,0.0,2029,15.237154816565848,2028,14.66,96.04
AGO,Angola,Africa,AFR,Constant sugar,0.0,2030,15.8408572100447,2029,14.66,96.04
AGO,Angola,Africa,AFR,Sugar +10% by 2030,0.1,2024,12.69315852138637,2023,14.869428571428571,97.412
AGO,Angola,Africa,AFR,Sugar +10% by 2030,0.1,2025,13.144883110441357,2024,15.078857142857142,98.78399999999999
AGO,Angola,Africa,AFR,Sugar +10% by 2030,0.1,2026,13.622959006591667,2025,15.288285714285715,100.15600000000002
AGO,Angola,Africa,AFR,Sugar +10% by 2030,0.1,2027,14.129741678699514,2026,15.497714285714286,101.528
AGO,Angola,Africa,AFR,Sugar +10% by 2030,0.1,2028,14.667148360696691,2027,15.707142857142857,102.9
AGO,Angola,Africa,AFR,Sugar +10% by 2030,0.1,2029,15.23687050254084,2028,15.916571428571428,104.272
AGO,Angola,Africa,AFR,Sugar +10% by 2030,0.1,2030,15.840492977416416,2029,16.126,105.64400000000002
AGO,Angola,Africa,AFR,Sugar +2% by 2030,0.02,2024,12.69315852138637,2023,14.701885714285716,96.3144
AGO,Angola,Africa,AFR,Sugar +2% by 2030,0.02,2025,13.144898288303388,2024,14.74377142857143,96.5888
AGO,Angola,Africa,AFR,Sugar +2% by 2030,0.02,2026,13.623009895053748,2025,14.785657142857145,96.86320000000002
AGO,Angola,Africa,AFR,Sugar +2% by 2030,0.02,2027,14.129843844554362,2026,14.827542857142856,97.13759999999999
AGO,Angola,Africa,AFR,Sugar +2% by 2030,0.02,2028,14.667311189873786,2027,14.869428571428571,97.412
AGO,Angola,Africa,AFR,Sugar +2% by 2030,0.02,2029,15.237097953760866,2028,14.911314285714285,97.6864
AGO,Angola,Africa,AFR,Sugar +2% by 2030,0.02,2030,15.840784363519074,2029,14.9532,97.9608
AGO,Angola,Africa,AFR,Sugar +5% by 2030,0.05,2024,12.69315852138637,2023,14.764714285714286,96.726
AGO,Angola,Africa,AFR,Sugar +5% by 2030,0.05,2025,13.144892596605128,2024,14.869428571428571,97.412
AGO,Angola,Africa,AFR,Sugar +5% by 2030,0.05,2026,13.622990811880474,2025,14.974142857142857,98.098
AGO,Angola,Africa,AFR,Sugar +5% by 2030,0.05,2027,14.129805532358803,2026,15.078857142857142,98.78399999999999
AGO,Angola,Africa,AFR,Sugar +5% by 2030,0.05,2028,14.66725012893239,2027,15.18357142857143,99.47000000000001
AGO,Angola,Africa,AFR,Sugar +5% by 2030,0.05,2029,15.237012659553374,2028,15.288285714285715,100.15600000000002
AGO,Angola,Africa,AFR,Sugar +5% by 2030,0.05,2030,15.840675093730596,2029,15.393,100.84200000000001
AGO,Angola,Africa,AFR,Sugar -10% by 2030,-0.1,2024,12.69315852138637,2023,14.450571428571429,94.668
AGO,Angola,Africa,AFR,Sugar -10% by 2030,-0.1,2025,13.144921055096436,2024,14.241142857142858,93.296
AGO,Angola,Africa,AFR,Sugar -10% by 2030,-0.1,2026,13.623086227746874,2025,14.031714285714287,91.924
AGO,Angola,Africa,AFR,Sugar -10% by 2030,-0.1,2027,14.12999709333664,2026,13.822285714285714,90.552
AGO,Angola,Africa,AFR,Sugar -10% by 2030,-0.1,2028,14.66755543363943,2027,13.612857142857143,89.18
AGO,Angola,Africa,AFR,Sugar -10% by 2030,-0.1,2029,15.2374391305909,2028,13.403428571428572,87.808
AGO,Angola,Africa,AFR,Sugar -10% by 2030,-0.1,2030,15.841221442673046,2029,13.194,86.436
AGO,Angola,Africa,AFR,Sugar -2% by 2030,-0.02,2024,12.69315852138637,2023,14.618114285714285,95.7656
AGO,Angola,Africa,AFR,Sugar -2% by 2030,-0.02,2025,13.144905877234404,2024,14.576228571428572,95.4912
AGO,Angola,Africa,AFR,Sugar -2% by 2030,-0.02,2026,13.623035339284788,2025,14.534342857142857,95.2168
AGO,Angola,Africa,AFR,Sugar -2% by 2030,-0.02,2027,14.129894927481782,2026,14.492457142857143,94.9424
AGO,Angola,Africa,AFR,Sugar -2% by 2030,-0.02,2028,14.667392604462323,2027,14.450571428571429,94.668
AGO,Angola,Africa,AFR,Sugar -2% by 2030,-0.02,2029,15.237211679370859,2028,14.408685714285715,94.3936
AGO,Angola,Africa,AFR,Sugar -2% by 2030,-0.02,2030,15.840930056570368,2029,14.3668,94.1192
AGO,Angola,Africa,AFR,Sugar -5% by 2030,-0.05,2024,12.69315852138637,2023,14.555285714285715,95.35400000000001
AGO,Angola,Africa,AFR,Sugar -5% by 2030,-0.05,2025,13.144911568932667,2024,14.450571428571429,94.668
AGO,Angola,Africa,AFR,Sugar -5% by 2030,-0.05,2026,13.623054422458072,2025,14.345857142857142,93.982
AGO,Angola,Africa,AFR,Sugar -5% by 2030,-0.05,2027,14.129933239677353,2026,14.241142857142858,93.296
AGO,Angola,Africa,AFR,Sugar -5% by 2030,-0.05,2028,14.667453665403734,2027,14.136428571428572,92.61000000000001
AGO,Angola,Africa,AFR,Sugar -5% by 2030,-0.05,2029,15.237296973578367,2028,14.031714285714287,91.924
AGO,Angola,Africa,AFR,Sugar -5% by 2030,-0.05,2030,15.841039326358864,2029,13.927,91.238
ALB,Albania,Europe,EUR,Constant sugar,0.0,2024,24.12551635839453,2023,53.65,262.97
ALB,Albania,Europe,EUR,Constant sugar,0.0,2025,24.728560929412673,2024,53.65,262.97
ALB,Albania,Europe,EUR,Constant sugar,0.0,2026,25.3442318120701,2025,53.65,262.97
ALB,Albania,Europe,EUR,Constant sugar,0.0,2027,25.9727980190909,2026,53.65,262.97
ALB,Albania,Europe,EUR,Constant sugar,0.0,2028,26.61505662856839,2027,53.65,262.97
ALB,Albania,Europe,EUR,Constant sugar,0.0,2029,27.272077580842943,2028,53.65,262.97
ALB,Albania,Europe,EUR,Constant sugar,0.0,2030,27.94505811102872,2029,53.65,262.97
ALB,Albania,Europe,EUR,Sugar +10% by 2030,0.1,2024,24.12551635839453,2023,54.41642857142857,266.7267142857143
ALB,Albania,Europe,EUR,Sugar +10% by 2030,0.1,2025,24.728492842802908,2024,55.18285714285714,270.4834285714286
ALB,Albania,Europe,EUR,Sugar +10% by 2030,0.1,2026,25.34400547023521,2025,55.949285714285715,274.2401428571429
ALB,Albania,Europe,EUR,Sugar +10% by 2030,0.1,2027,25.972349011614455,2026,56.715714285714284,277.99685714285715
ALB,Albania,Europe,EUR,Sugar +10% by 2030,0.1,2028,26.61435218651134,2027,57.482142857142854,281.75357142857143
ALB,Albania,Europe,EUR,Sugar +10% by 2030,0.1,2029,27.271113290647776,2028,58.248571428571424,285.5102857142857
ALB,Albania,Europe,EUR,Sugar +10% by 2030,0.1,2030,27.943854422514388,2029,59.015,289.26700000000005
ALB,Albania,Europe,EUR,Sugar +2% by 2030,0.02,2024,24.12551635839453,2023,53.803285714285714,263.7213428571429
ALB,Albania,Europe,EUR,Sugar +2% by 2030,0.02,2025,24.72854731209072,2024,53.95657142857143,264.4726857142858
ALB,Albania,Europe,EUR,Sugar +2% by 2030,0.02,2026,25.344186543703117,2025,54.109857142857145,265.2240285714286
ALB,Albania,Europe,EUR,Sugar +2% by 2030,0.02,2027,25.972708217595603,2026,54.26314285714285,265.9753714285714
ALB,Albania,Europe,EUR,Sugar +2% by 2030,0.02,2028,26.614915740156967,2027,54.41642857142857,266.7267142857143
ALB,Albania,Europe,EUR,Sugar +2% by 2030,0.02,2029,27.27188472280389,2028,54.569714285714284,267.47805714285715
ALB,Albania,Europe,EUR,Sugar +2% by 2030,0.02,2030,27.944817373325826,2029,54.723,268.22940000000006
ALB,Albania,Europe,EUR,Sugar +5% by 2030,0.05,2024,24.12551635839453,2023,54.03321428571428,264.84835714285714
ALB,Albania,Europe,EUR,Sugar +5% by 2030,0.05,2025,24.72852688610779,2024,54.41642857142857,266.7267142857143
ALB,Albania,Europe,EUR,Sugar +5% by 2030,0.05,2026,25.344118641152654,2025,54.79964285714285,268.6050714285714
ALB,Albania,Europe,EUR,Sugar +5% by 2030,0.05,2027,25.97257351535268,2026,55.18285714285714,270.4834285714286
ALB,Albania,Europe,EUR,Sugar +5% by 2030,0.05,2028,26.614704407539868,2027,55.56607142857143,272.36178571428576
ALB,Albania,Europe,EUR,Sugar +5% by 2030,0.05,2029,27.27159543574536,2028,55.949285714285715,274.2401428571429
ALB,Albania,Europe,EUR,Sugar +5% by 2030,0.05,2030,27.944456266771553,2029,56.3325,276.11850000000004
ALB,Albania,Europe,EUR,Sugar -10% by 2030,-0.1,2024,24.12551635839453,2023,52.88357142857143,259.21328571428575
ALB,Albania,Europe,EUR,Sugar -10% by 2030,-0.1,2025,24.728629016022442,2024,52.11714285714285,255.45657142857146
ALB,Albania,Europe,EUR,Sugar -10% by 2030,-0.1,2026,25.344458153904995,2025,51.35071428571429,251.69985714285718
ALB,Albania,Europe,EUR,Sugar -10% by 2030,-0.1,2027,25.973247026567357,2026,50.58428571428571,247.94314285714287
ALB,Albania,Europe,EUR,Sugar -10% by 2030,-0.1,2028,26.61576107062546,2027,49.81785714285714,244.1864285714286
ALB,Albania,Europe,EUR,Sugar -10% by 2030,-0.1,2029,27.27304187103814,2028,49.051428571428566,240.4297142857143
ALB,Albania,Europe,EUR,Sugar -10% by 2030,-0.1,2030,27.946261799543088,2029,48.285,236.67300000000003
ALB,Albania,Europe,EUR,Sugar -2% by 2030,-0.02,2024,24.12551635839453,2023,53.49671428571428,262.2186571428572
ALB,Albania,Europe,EUR,Sugar -2% by 2030,-0.02,2025,24.728574546734627,2024,53.343428571428575,261.46731428571434
ALB,Albania,Europe,EUR,Sugar -2% by 2030,-0.02,2026,25.34427708043708,2025,53.19014285714286,260.71597142857144
ALB,Albania,Europe,EUR,Sugar -2% by 2030,-0.02,2027,25.972887820586198,2026,53.03685714285714,259.9646285714286
ALB,Albania,Europe,EUR,Sugar -2% by 2030,-0.02,2028,26.61519751697982,2027,52.88357142857143,259.21328571428575
ALB,Albania,Europe,EUR,Sugar -2% by 2030,-0.02,2029,27.272270438882007,2028,52.73028571428571,258.4619428571429
ALB,Albania,Europe,EUR,Sugar -2% by 2030,-0.02,2030,27.945298848731632,2029,52.577,257.7106
ALB,Albania,Europe,EUR,Sugar -5% by 2030,-0.05,2024,24.12551635839453,2023,53.26678571428572,261.0916428571429
ALB,Albania,Europe,EUR,Sugar -5% by 2030,-0.05,2025,24.72859497271756,2024,52.88357142857143,259.21328571428575
ALB,Albania,Europe,EUR,Sugar -5% by 2030,-0.05,2026,25.34434498298755,2025,52.50035714285714,257.3349285714286
ALB,Albania,Europe,EUR,Sugar -5% by 2030,-0.05,2027,25.973022522829133,2026,52.11714285714285,255.45657142857146
ALB,Albania,Europe,EUR,Sugar -5% by 2030,-0.05,2028,26.615408849596932,2027,51.73392857142857,253.57821428571432
ALB,Albania,Europe,EUR,Sugar -5% by 2030,-0.05,2029,27.27255972594055,2028,51.35071428571429,251.69985714285718
ALB,Albania,Europe,EUR,Sugar -5% by 2030,-0.05,2030,27.945659955285915,2029,50.967499999999994,249.82150000000001
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Constant sugar,0.0,2024,31.574360945220487,2023,31.43,268.36
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Constant sugar,0.0,2025,31.426768757322776,2024,31.43,268.36
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Constant sugar,0.0,2026,31.26847847661271,2025,31.43,268.36
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Constant sugar,0.0,2027,31.101713093100027,2026,31.43,268.36
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Constant sugar,0.0,2028,30.92817801881062,2027,31.43,268.36
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Constant sugar,0.0,2029,30.74945413601992,2028,31.43,268.36
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Constant sugar,0.0,2030,30.56711778507917,2029,31.43,268.36
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2024,31.574360945220487,2023,31.878999999999998,272.1937142857143
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2025,31.42672713288689,2024,32.327999999999996,276.0274285714286
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2026,31.268337549079348,2025,32.777,279.8611428571429
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2027,31.101426345709186,2026,33.226,283.6948571428572
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2028,30.9277131227836,2027,33.675,287.5285714285714
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2029,30.748790816847155,2028,34.123999999999995,291.3622857142857
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +10% by 2030,0.1,2030,30.566245670622223,2029,34.573,295.196
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2024,31.574360945220487,2023,31.5198,269.12674285714286
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2025,31.4267604324356,2024,31.6096,269.89348571428576
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2026,31.268450291106042,2025,31.699400000000004,270.6602285714286
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2027,31.101655743621865,2026,31.789199999999997,271.4269714285714
