model,model_family,mae,rmse,r2,selected_for_scenarios
naive_previous_3yr_change,baseline,0.10514676615853659,0.13962640185660594,0.972582920697567,False
linear_regression,ml,0.05213558658841776,0.08839824191236965,0.9890106159594977,True
ridge_regression,ml,0.058194057204892465,0.09388783527349161,0.9876033383764179,False
random_forest,ml,0.060631152535163914,0.09647855951719368,0.9869097567661709,False
